row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,noisy_data.mzML Peak status,noisy_data.mzML Peak name,noisy_data.mzML Peak m/z,noisy_data.mzML Peak RT,noisy_data.mzML Peak RT start,noisy_data.mzML Peak RT end,noisy_data.mzML Peak duration time,noisy_data.mzML Peak height,noisy_data.mzML Peak area,noisy_data.mzML Peak charge,noisy_data.mzML Peak # data points,noisy_data.mzML Peak FWHM,noisy_data.mzML Peak tailing factor,noisy_data.mzML Peak asymmetry factor,noisy_data.mzML Peak m/z min,noisy_data.mzML Peak m/z max,
<<<<<<< HEAD
1,100.0009994506836,8.333333333333334,,,,"69 : MZ=100.001, Time=8.333, Intensity=994922.3, Times=[7.817~8.817],  MZ=[100.0009~100.0011]",1,DETECTED,100.0010 m/z @8.33 [noisy_data.mzML],100.0009994506836,8.333333333333334,7.816666666666666,8.816666666666666,1.0,1001035.625,2.0505491768161766E7,0,1000,0.3205231591564779,1.0291170671524699,1.060432938346024,100.0009994506836,100.0009994506836,
2,100.00199890136719,8.333333333333334,,,,"209 : MZ=100.002, Time=8.35, Intensity=993771.3, Times=[7.883~8.917],  MZ=[100.0019~100.002]",1,DETECTED,100.0020 m/z @8.33 [noisy_data.mzML],100.00199890136719,8.333333333333334,7.883333333333334,8.916666666666666,1.0333333333333323,999591.8125,2.0539371665161125E7,0,1000,0.3213976443548461,1.0239426580806588,1.0590448184046661,100.00199890136719,100.00199890136719,
3,100.00299835205078,8.333333333333334,,,,"355 : MZ=100.003, Time=8.35, Intensity=996770.4, Times=[7.9~8.8],  MZ=[100.0029~100.003]",1,DETECTED,100.0030 m/z @8.33 [noisy_data.mzML],100.00299835205078,8.333333333333334,7.9,8.8,0.9000000000000004,1002925.0,2.0489163225952145E7,0,1000,0.32175163237952376,1.0334004465479458,1.0641990041070881,100.00299835205078,100.00299835205078,
4,100.00399780273438,8.35,,,,"502 : MZ=100.004, Time=8.35, Intensity=995036.8, Times=[7.883~8.883],  MZ=[100.0039~100.004]",1,DETECTED,100.0040 m/z @8.35 [noisy_data.mzML],100.00399780273438,8.35,7.883333333333334,8.883333333333333,0.9999999999999991,1000948.875,2.048550211749267E7,0,1000,0.321151093859406,0.9767368902048114,0.9525572058850751,100.00399780273438,100.00399780273438,
5,100.00499725341797,8.35,,,,"649 : MZ=100.005, Time=8.35, Intensity=992218.9, Times=[7.883~8.783],  MZ=[100.0049~100.005]",1,DETECTED,100.0050 m/z @8.35 [noisy_data.mzML],100.00499725341797,8.35,7.883333333333334,8.783333333333333,0.8999999999999995,996541.125,2.0434924226776116E7,0,1000,0.3206655929219355,0.9776451486341085,0.9573979582262145,100.00499725341797,100.00499725341797,
6,100.00599670410156,8.35,,,,"797 : MZ=100.006, Time=8.35, Intensity=994025.6, Times=[7.9~8.833],  MZ=[100.0059~100.006]",1,DETECTED,100.0060 m/z @8.35 [noisy_data.mzML],100.00599670410156,8.35,7.9,8.833333333333334,0.9333333333333336,1004389.3125,2.043000044569778E7,0,1000,0.32365862742794604,0.9942306907025682,0.9458494712818291,100.00599670410156,100.00599670410156,
7,100.00700378417969,8.35,,,,"942 : MZ=100.007, Time=8.333, Intensity=988645.3, Times=[7.883~8.783],  MZ=[100.007~100.0071]",1,DETECTED,100.0070 m/z @8.35 [noisy_data.mzML],100.00700378417969,8.35,7.883333333333334,8.783333333333333,0.8999999999999995,992438.5625,2.0460095488677975E7,0,1000,0.32064654696825023,0.9925842138741489,0.9100237675430204,100.00700378417969,100.00700378417969,
8,100.00800323486328,8.35,,,,"1086 : MZ=100.008, Time=8.333, Intensity=997843.6, Times=[7.967~8.817],  MZ=[100.008~100.0081]",1,DETECTED,100.0080 m/z @8.35 [noisy_data.mzML],100.00800323486328,8.35,7.966666666666667,8.816666666666666,0.8499999999999996,1012198.8125,2.045652015533446E7,0,1000,0.3183595275555273,0.9968468621113369,0.99801150153185,100.00800323486328,100.00800323486328,
9,100.00900268554688,8.333333333333334,,,,"1232 : MZ=100.009, Time=8.35, Intensity=995534.2, Times=[7.867~8.767],  MZ=[100.009~100.0091]",1,DETECTED,100.0090 m/z @8.33 [noisy_data.mzML],100.00900268554688,8.333333333333334,7.866666666666666,8.766666666666667,0.9000000000000012,1003390.8125,2.051738569113921E7,0,1000,0.3217961390748112,1.1074860465939516,1.1109097858213666,100.00900268554688,100.00900268554688,
10,100.01000213623047,8.35,,,,"1378 : MZ=100.01, Time=8.333, Intensity=991908.1, Times=[7.933~8.8],  MZ=[100.01~100.0101]",1,DETECTED,100.0100 m/z @8.35 [noisy_data.mzML],100.01000213623047,8.35,7.966666666666667,8.8,0.8333333333333339,1007690.0625,2.0482467542968743E7,0,1000,0.3227893913295219,0.8714860830326228,0.9283885218011035,100.01000213623047,100.01000213623047,
11,100.01100158691406,8.35,,,,"1523 : MZ=100.011, Time=8.333, Intensity=986210.0, Times=[7.867~8.817],  MZ=[100.011~100.0111]",1,DETECTED,100.0110 m/z @8.35 [noisy_data.mzML],100.01100158691406,8.35,7.866666666666666,8.816666666666666,0.9500000000000002,997214.0625,2.046869869796752E7,0,1000,0.31750906626059816,1.0029641875096666,0.9435862423866151,100.01100158691406,100.01100158691406,
12,100.01200103759766,8.35,,,,"1674 : MZ=100.012, Time=8.35, Intensity=990149.9, Times=[7.883~8.767],  MZ=[100.012~100.0121]",1,DETECTED,100.0120 m/z @8.35 [noisy_data.mzML],100.01200103759766,8.35,7.883333333333334,8.766666666666667,0.8833333333333337,1001624.3125,2.0547677528564446E7,0,1000,0.3262776495022788,0.9768534790900052,0.935733464061903,100.01200103759766,100.01200103759766,
13,100.01300048828125,8.333333333333334,,,,"1819 : MZ=100.013, Time=8.35, Intensity=976463.1, Times=[7.883~8.8],  MZ=[100.013~100.0131]",1,DETECTED,100.0130 m/z @8.33 [noisy_data.mzML],100.01300048828125,8.333333333333334,7.883333333333334,8.8,0.916666666666667,978535.875,2.0475129819938652E7,0,1000,0.3238904351986651,1.0331503477914026,1.0916937930270054,100.01300048828125,100.01300048828125,
14,100.01399993896484,8.366666666666667,,,,"1965 : MZ=100.014, Time=8.35, Intensity=1012891.7, Times=[7.917~8.833],  MZ=[100.014~100.0141]",1,DETECTED,100.0140 m/z @8.37 [noisy_data.mzML],100.01399993896484,8.366666666666667,7.916666666666667,8.833333333333334,0.916666666666667,1025163.5,2.0680691629760727E7,0,1000,0.3201233663427274,0.8861878590792992,0.8505523918126228,100.01399993896484,100.01399993896484,
15,100.01499938964844,8.333333333333334,,,,"2108 : MZ=100.015, Time=8.333, Intensity=1010732.2, Times=[7.867~8.75],  MZ=[100.0149~100.015]",1,DETECTED,100.0150 m/z @8.33 [noisy_data.mzML],100.01499938964844,8.333333333333334,7.866666666666666,8.716666666666667,0.8500000000000005,1030429.5,2.0624965362579335E7,0,1000,0.31327521004837067,1.0053852298650992,1.0727515125744753,100.01499938964844,100.01499938964844,
16,100.01599884033203,8.333333333333334,,,,"2242 : MZ=100.016, Time=8.35, Intensity=999480.0, Times=[7.9~8.783],  MZ=[100.0159~100.016]",1,DETECTED,100.0160 m/z @8.33 [noisy_data.mzML],100.01599884033203,8.333333333333334,7.9,8.783333333333333,0.8833333333333329,1006522.875,2.0727560886840813E7,0,1000,0.319497778846463,0.9971704961635273,0.9954595098510239,100.01599884033203,100.01599884033203,
17,100.01699829101562,8.35,,,,"2379 : MZ=100.017, Time=8.35, Intensity=986390.3, Times=[7.967~8.767],  MZ=[100.0169~100.017]",1,DETECTED,100.0170 m/z @8.35 [noisy_data.mzML],100.01699829101562,8.35,7.966666666666667,8.766666666666667,0.8000000000000007,994893.625,2.027701180615234E7,0,1000,0.31432031476445843,0.9579845284169363,0.9047486790826326,100.01699829101562,100.01699829101562,
